,SAT,base,base2
507,0.363,0.438,0.491
508,0.356,0.438,0.504
509,0.369,0.453,0.514
510,0.342,0.431,0.502
511,0.35,0.447,0.513
512,0.342,0.429,0.498
513,0.341,0.42,0.49
514,0.36,0.447,0.508
515,0.353,0.431,0.507
516,0.351,0.445,0.511
517,0.35,0.432,0.507
518,0.356,0.43,0.5
519,0.338,0.437,0.508
520,0.36,0.448,0.511
521,0.353,0.436,0.509
522,0.333,0.423,0.493
523,0.342,0.439,0.505
524,0.345,0.435,0.509
525,0.358,0.439,0.507
526,0.349,0.433,0.503
527,0.351,0.437,0.508
528,0.344,0.433,0.508
529,0.323,0.421,0.492
530,0.342,0.432,0.502
531,0.352,0.446,0.521
532,0.318,0.42,0.49
533,0.349,0.436,0.506
534,0.352,0.438,0.508
535,0.357,0.445,0.512
536,0.332,0.427,0.501
537,0.365,0.458,0.508
538,0.35,0.445,0.499
539,0.34,0.424,0.498
540,0.353,0.443,0.516
541,0.352,0.437,0.508
542,0.374,0.461,0.514
543,0.34,0.439,0.507
544,0.352,0.438,0.513
545,0.329,0.422,0.49
546,0.344,0.433,0.501
547,0.355,0.448,0.517
548,0.352,0.431,0.502
549,0.346,0.433,0.503
550,0.35,0.439,0.509
551,0.359,0.446,0.501
552,0.349,0.44,0.512
553,0.35,0.44,0.509
554,0.357,0.447,0.495
555,0.356,0.43,0.505
556,0.33,0.426,0.495
557,0.338,0.432,0.504
558,0.346,0.437,0.511
559,0.35,0.446,0.513
560,0.35,0.441,0.513
561,0.355,0.439,0.508
562,0.355,0.425,0.496
563,0.36,0.448,0.51
564,0.337,0.437,0.504
565,0.357,0.446,0.514
566,0.346,0.43,0.497
567,0.341,0.418,0.49
568,0.335,0.429,0.5
569,0.355,0.446,0.516
570,0.327,0.431,0.5
571,0.351,0.433,0.506
572,0.347,0.435,0.507
573,0.351,0.437,0.505
574,0.344,0.434,0.499
575,0.352,0.442,0.514
576,0.355,0.453,0.518
577,0.356,0.435,0.506
578,0.337,0.433,0.504
579,0.361,0.448,0.51
580,0.351,0.434,0.506
581,0.351,0.444,0.511
582,0.333,0.424,0.496
583,0.345,0.446,0.509
584,0.352,0.435,0.502
585,0.328,0.418,0.492
586,0.346,0.446,0.503
587,0.346,0.437,0.511
588,0.344,0.433,0.508
589,0.341,0.437,0.509
590,0.341,0.422,0.489
591,0.355,0.437,0.502
592,0.351,0.436,0.507
593,0.355,0.435,0.503
594,0.355,0.431,0.501
595,0.35,0.421,0.498
596,0.35,0.439,0.509
597,0.348,0.443,0.512
598,0.357,0.451,0.522
599,0.342,0.42,0.487
600,0.36,0.447,0.507
601,0.348,0.441,0.504
602,0.356,0.453,0.511
603,0.362,0.438,0.502
604,0.334,0.433,0.502
605,0.336,0.434,0.508
606,0.333,0.418,0.487
607,0.351,0.442,0.509
608,0.352,0.436,0.511
609,0.343,0.434,0.504
610,0.349,0.437,0.509
611,0.365,0.44,0.5
612,0.346,0.44,0.507
613,0.342,0.433,0.5
614,0.349,0.433,0.509
615,0.352,0.435,0.494
616,0.328,0.421,0.494
617,0.36,0.451,0.506
618,0.362,0.448,0.505
619,0.361,0.446,0.515
620,0.348,0.44,0.509
621,0.356,0.435,0.506
622,0.353,0.442,0.516
623,0.349,0.435,0.504
624,0.362,0.453,0.524
625,0.339,0.428,0.503
626,0.356,0.443,0.507
627,0.336,0.434,0.508
628,0.335,0.427,0.495
629,0.351,0.438,0.51
630,0.345,0.434,0.505
631,0.329,0.421,0.492
632,0.333,0.439,0.507
633,0.345,0.435,0.506
634,0.348,0.449,0.514
635,0.359,0.421,0.496
636,0.341,0.433,0.501
637,0.358,0.444,0.516
638,0.348,0.434,0.508
639,0.348,0.45,0.513
640,0.337,0.43,0.501
641,0.348,0.431,0.506
642,0.338,0.427,0.493
643,0.351,0.437,0.507
644,0.342,0.423,0.491
645,0.337,0.426,0.496
646,0.347,0.449,0.508
647,0.342,0.443,0.513
648,0.378,0.456,0.503
649,0.351,0.443,0.514
650,0.351,0.435,0.509
651,0.353,0.441,0.511
652,0.339,0.434,0.5
653,0.359,0.44,0.511
654,0.35,0.435,0.503
655,0.343,0.432,0.501
656,0.349,0.443,0.512
657,0.356,0.454,0.511
658,0.353,0.432,0.505
659,0.345,0.438,0.51
660,0.33,0.428,0.498
661,0.352,0.444,0.514
662,0.341,0.424,0.495
663,0.342,0.424,0.496
664,0.339,0.435,0.51
665,0.34,0.422,0.491
666,0.366,0.463,0.513
667,0.345,0.434,0.502
668,0.348,0.446,0.518
669,0.347,0.436,0.505
670,0.352,0.435,0.498
671,0.34,0.423,0.493
672,0.364,0.452,0.508
673,0.354,0.435,0.5
674,0.344,0.43,0.499
675,0.337,0.437,0.509
676,0.348,0.458,0.527
677,0.338,0.423,0.496
678,0.336,0.433,0.502
679,0.341,0.432,0.506
680,0.351,0.444,0.512
681,0.34,0.431,0.507
