,MRA,base,base2
516,0.341,0.445,0.503
517,0.331,0.439,0.507
518,0.338,0.43,0.501
519,0.345,0.46,0.515
520,0.336,0.442,0.504
521,0.336,0.431,0.506
522,0.342,0.454,0.513
523,0.347,0.443,0.513
524,0.342,0.448,0.521
525,0.345,0.441,0.51
526,0.341,0.444,0.508
527,0.346,0.435,0.508
528,0.331,0.442,0.507
529,0.327,0.43,0.498
530,0.339,0.441,0.516
531,0.334,0.442,0.512
532,0.341,0.435,0.509
533,0.342,0.428,0.5
534,0.345,0.426,0.494
535,0.331,0.441,0.497
536,0.334,0.443,0.508
537,0.34,0.439,0.508
538,0.345,0.437,0.511
539,0.343,0.433,0.504
540,0.341,0.443,0.503
541,0.332,0.433,0.502
542,0.34,0.441,0.509
543,0.338,0.448,0.507
544,0.344,0.43,0.499
545,0.347,0.441,0.516
546,0.333,0.429,0.498
547,0.339,0.445,0.514
548,0.35,0.434,0.506
549,0.342,0.434,0.507
550,0.339,0.459,0.511
551,0.342,0.442,0.51
552,0.343,0.439,0.512
553,0.337,0.443,0.504
554,0.342,0.447,0.51
555,0.339,0.447,0.507
556,0.34,0.436,0.508
557,0.338,0.447,0.513
558,0.341,0.424,0.496
559,0.337,0.44,0.507
560,0.348,0.43,0.501
561,0.339,0.428,0.497
562,0.357,0.439,0.506
563,0.342,0.442,0.509
564,0.336,0.457,0.511
565,0.345,0.448,0.516
566,0.342,0.444,0.514
567,0.344,0.428,0.5
568,0.34,0.431,0.504
569,0.347,0.427,0.496
570,0.342,0.448,0.51
571,0.344,0.442,0.511
572,0.355,0.44,0.511
573,0.33,0.427,0.497
574,0.338,0.418,0.484
575,0.34,0.433,0.507
576,0.349,0.456,0.519
577,0.337,0.426,0.499
578,0.345,0.431,0.501
579,0.35,0.438,0.505
580,0.345,0.441,0.515
581,0.338,0.429,0.5
582,0.343,0.453,0.514
583,0.344,0.447,0.507
584,0.339,0.434,0.505
585,0.344,0.43,0.498
586,0.334,0.434,0.506
587,0.345,0.443,0.513
588,0.337,0.431,0.504
589,0.333,0.434,0.501
590,0.329,0.432,0.496
591,0.339,0.438,0.499
592,0.345,0.427,0.499
593,0.342,0.442,0.51
594,0.337,0.421,0.49
595,0.33,0.44,0.494
596,0.343,0.449,0.511
597,0.337,0.447,0.514
598,0.343,0.439,0.51
599,0.334,0.439,0.504
600,0.334,0.447,0.51
601,0.344,0.447,0.512
602,0.339,0.445,0.507
603,0.338,0.445,0.516
604,0.349,0.44,0.506
605,0.345,0.444,0.509
606,0.336,0.428,0.494
607,0.337,0.438,0.508
608,0.341,0.43,0.502
609,0.341,0.433,0.506
610,0.341,0.423,0.496
611,0.349,0.447,0.517
612,0.337,0.438,0.507
613,0.338,0.441,0.512
614,0.337,0.433,0.499
615,0.343,0.431,0.502
616,0.346,0.44,0.514
617,0.342,0.435,0.505
618,0.337,0.453,0.503
619,0.345,0.457,0.512
620,0.351,0.441,0.516
621,0.337,0.439,0.511
622,0.329,0.455,0.504
623,0.336,0.419,0.485
624,0.337,0.432,0.497
625,0.339,0.431,0.502
626,0.34,0.43,0.499
627,0.335,0.427,0.497
628,0.347,0.45,0.516
629,0.336,0.449,0.504
630,0.343,0.445,0.514
631,0.34,0.43,0.503
632,0.333,0.44,0.508
633,0.347,0.438,0.507
634,0.346,0.443,0.51
635,0.335,0.446,0.509
636,0.343,0.431,0.503
637,0.346,0.455,0.512
638,0.344,0.442,0.513
639,0.337,0.456,0.514
640,0.336,0.437,0.51
641,0.348,0.44,0.509
642,0.338,0.447,0.512
643,0.338,0.427,0.501
644,0.338,0.431,0.501
645,0.345,0.423,0.493
646,0.344,0.44,0.51
647,0.339,0.44,0.505
648,0.338,0.44,0.511
649,0.329,0.431,0.497
650,0.33,0.439,0.504
651,0.34,0.435,0.504
652,0.348,0.434,0.508
653,0.353,0.433,0.507
654,0.342,0.436,0.511
655,0.339,0.437,0.511
656,0.337,0.433,0.507
657,0.332,0.434,0.506
658,0.334,0.443,0.512
659,0.326,0.453,0.496
660,0.344,0.467,0.512
661,0.346,0.438,0.508
662,0.343,0.442,0.51
663,0.344,0.444,0.507
664,0.341,0.43,0.498
665,0.345,0.44,0.505
666,0.342,0.446,0.506
667,0.345,0.451,0.508
668,0.338,0.444,0.511
669,0.339,0.441,0.502
670,0.333,0.428,0.499
671,0.334,0.431,0.504
672,0.346,0.434,0.512
673,0.337,0.438,0.511
674,0.354,0.437,0.505
675,0.338,0.439,0.503
676,0.344,0.439,0.501
677,0.34,0.448,0.515
678,0.348,0.444,0.513
679,0.338,0.43,0.498
680,0.343,0.445,0.514
681,0.347,0.434,0.504
682,0.347,0.442,0.512
683,0.339,0.44,0.513
684,0.339,0.423,0.494
685,0.342,0.432,0.504
686,0.341,0.457,0.509
687,0.349,0.424,0.496
688,0.336,0.447,0.51
689,0.343,0.433,0.505
690,0.335,0.436,0.503
691,0.344,0.427,0.498
692,0.352,0.437,0.51
693,0.33,0.449,0.498
694,0.341,0.436,0.507
695,0.343,0.433,0.501
696,0.348,0.445,0.517
697,0.332,0.432,0.504
698,0.339,0.448,0.512
699,0.332,0.446,0.506
700,0.336,0.426,0.497
701,0.353,0.439,0.508
702,0.35,0.423,0.497
703,0.348,0.448,0.515
704,0.33,0.434,0.499
705,0.337,0.424,0.492
706,0.336,0.448,0.508
707,0.349,0.44,0.512
708,0.335,0.43,0.498
709,0.326,0.432,0.496
710,0.336,0.446,0.511
711,0.331,0.438,0.501
712,0.337,0.451,0.517
713,0.353,0.449,0.52
714,0.348,0.426,0.495
715,0.335,0.435,0.51
716,0.342,0.441,0.509
717,0.344,0.429,0.5
718,0.343,0.421,0.495
719,0.337,0.437,0.509
720,0.338,0.436,0.503
721,0.338,0.444,0.513
722,0.345,0.432,0.503
723,0.345,0.428,0.499
724,0.333,0.433,0.505
725,0.348,0.451,0.517
726,0.335,0.441,0.503
727,0.341,0.44,0.506
728,0.336,0.424,0.494
729,0.34,0.435,0.509
730,0.343,0.443,0.505
731,0.341,0.428,0.496
732,0.338,0.439,0.51
733,0.332,0.428,0.498
734,0.347,0.429,0.504
735,0.333,0.443,0.507
736,0.34,0.438,0.507
737,0.345,0.433,0.506
738,0.341,0.458,0.515
739,0.351,0.437,0.51
740,0.338,0.437,0.508
741,0.33,0.431,0.498
742,0.346,0.446,0.512
743,0.333,0.447,0.51
744,0.339,0.432,0.507
745,0.342,0.441,0.511
746,0.346,0.437,0.508
747,0.333,0.43,0.498
748,0.33,0.419,0.487
749,0.346,0.447,0.519
750,0.342,0.444,0.518
751,0.334,0.436,0.504
752,0.348,0.453,0.517
753,0.341,0.439,0.505
754,0.343,0.436,0.507
755,0.342,0.436,0.506
756,0.343,0.426,0.496
757,0.342,0.445,0.51
758,0.327,0.44,0.502
759,0.345,0.441,0.513
760,0.344,0.448,0.518
761,0.348,0.444,0.514
762,0.337,0.444,0.513
763,0.335,0.445,0.512
764,0.335,0.435,0.504
765,0.346,0.444,0.511
766,0.336,0.431,0.502
767,0.334,0.454,0.505
768,0.333,0.438,0.498
769,0.343,0.43,0.498
770,0.335,0.427,0.499
771,0.338,0.449,0.513
772,0.349,0.452,0.526
773,0.336,0.442,0.51
774,0.356,0.439,0.51
775,0.339,0.441,0.511
776,0.348,0.443,0.512
777,0.334,0.433,0.502
778,0.346,0.446,0.514
779,0.346,0.443,0.513
780,0.343,0.445,0.511
781,0.337,0.447,0.507
782,0.336,0.437,0.508
783,0.343,0.436,0.505
784,0.346,0.441,0.508
785,0.342,0.444,0.515
786,0.341,0.433,0.504
787,0.345,0.441,0.51
788,0.361,0.444,0.515
789,0.349,0.434,0.506
790,0.342,0.411,0.478
791,0.339,0.426,0.496
792,0.335,0.428,0.498
793,0.35,0.447,0.514
794,0.348,0.445,0.513
795,0.334,0.434,0.505
796,0.331,0.442,0.503
797,0.34,0.448,0.513
798,0.338,0.435,0.505
799,0.336,0.44,0.507
800,0.328,0.446,0.498
801,0.349,0.445,0.519
802,0.335,0.446,0.503
803,0.344,0.441,0.512
804,0.34,0.437,0.504
805,0.334,0.441,0.499
806,0.359,0.448,0.52
807,0.341,0.433,0.504
808,0.34,0.437,0.504
809,0.338,0.441,0.51
810,0.341,0.444,0.517
811,0.352,0.435,0.502
812,0.334,0.453,0.509
