,SAT,base,base2
310,0.159,0.183,0.211
311,0.166,0.188,0.218
312,0.16,0.178,0.207
313,0.162,0.186,0.216
314,0.164,0.182,0.213
315,0.156,0.175,0.206
316,0.161,0.181,0.21
317,0.162,0.19,0.22
318,0.156,0.183,0.21
319,0.159,0.186,0.212
320,0.162,0.181,0.21
321,0.169,0.191,0.223
322,0.162,0.182,0.213
323,0.168,0.191,0.223
324,0.163,0.185,0.214
325,0.16,0.184,0.218
326,0.153,0.179,0.208
327,0.156,0.186,0.215
328,0.164,0.185,0.216
329,0.166,0.191,0.218
330,0.154,0.175,0.204
331,0.16,0.186,0.22
332,0.161,0.186,0.216
333,0.161,0.183,0.213
334,0.168,0.193,0.223
335,0.161,0.184,0.215
336,0.158,0.185,0.213
337,0.165,0.188,0.217
338,0.16,0.185,0.216
339,0.158,0.182,0.21
340,0.157,0.183,0.211
341,0.162,0.184,0.215
342,0.157,0.178,0.208
343,0.163,0.191,0.223
344,0.165,0.188,0.218
345,0.167,0.186,0.217
346,0.162,0.187,0.216
347,0.155,0.181,0.213
348,0.162,0.182,0.213
349,0.159,0.18,0.208
350,0.161,0.187,0.216
351,0.163,0.193,0.222
352,0.153,0.178,0.211
353,0.161,0.182,0.211
354,0.156,0.176,0.205
355,0.161,0.182,0.212
356,0.158,0.181,0.209
357,0.158,0.183,0.209
358,0.158,0.178,0.208
359,0.161,0.187,0.216
360,0.159,0.186,0.215
361,0.167,0.186,0.215
362,0.155,0.18,0.207
363,0.159,0.184,0.212
364,0.16,0.187,0.216
365,0.157,0.185,0.215
366,0.156,0.187,0.216
367,0.162,0.182,0.209
368,0.163,0.188,0.219
369,0.162,0.188,0.219
370,0.159,0.184,0.214
371,0.155,0.18,0.208
372,0.165,0.192,0.223
373,0.165,0.186,0.214
374,0.165,0.183,0.215
375,0.165,0.182,0.211
376,0.154,0.178,0.207
377,0.162,0.183,0.212
378,0.161,0.184,0.212
379,0.161,0.182,0.211
380,0.157,0.181,0.212
381,0.163,0.181,0.213
382,0.162,0.185,0.212
383,0.161,0.191,0.22
384,0.157,0.181,0.209
385,0.163,0.185,0.215
386,0.167,0.185,0.216
387,0.158,0.177,0.207
388,0.167,0.186,0.217
389,0.159,0.181,0.211
390,0.163,0.187,0.216
391,0.164,0.181,0.215
392,0.16,0.181,0.213
393,0.158,0.183,0.213
394,0.163,0.194,0.224
395,0.16,0.181,0.21
