,MRA,base3
884,0.186,0.168
885,0.184,0.168
886,0.18,0.164
887,0.186,0.173
888,0.179,0.161
889,0.186,0.167
890,0.182,0.161
891,0.183,0.169
892,0.185,0.168
893,0.181,0.165
894,0.18,0.164
895,0.184,0.167
896,0.184,0.17
897,0.175,0.164
898,0.185,0.173
899,0.188,0.167
900,0.189,0.173
901,0.184,0.164
902,0.182,0.169
903,0.178,0.164
904,0.185,0.167
905,0.182,0.165
906,0.183,0.164
907,0.182,0.164
908,0.181,0.161
909,0.182,0.166
910,0.18,0.162
911,0.184,0.165
912,0.189,0.167
913,0.189,0.174
914,0.182,0.168
915,0.188,0.174
916,0.187,0.169
917,0.191,0.171
918,0.176,0.162
919,0.184,0.164
920,0.178,0.163
921,0.189,0.167
922,0.181,0.166
923,0.185,0.172
924,0.181,0.165
925,0.183,0.168
926,0.183,0.168
927,0.184,0.168
928,0.181,0.166
929,0.181,0.165
930,0.186,0.169
931,0.194,0.168
932,0.184,0.169
933,0.186,0.171
934,0.18,0.169
935,0.182,0.169
936,0.184,0.165
937,0.187,0.172
938,0.185,0.164
939,0.185,0.169
940,0.181,0.162
941,0.188,0.172
942,0.188,0.171
943,0.185,0.17
944,0.181,0.167
945,0.181,0.166
946,0.179,0.167
947,0.187,0.172
948,0.177,0.163
949,0.183,0.164
950,0.179,0.165
951,0.18,0.165
952,0.187,0.168
953,0.183,0.169
954,0.187,0.17
955,0.176,0.162
956,0.182,0.166
957,0.179,0.168
958,0.189,0.171
959,0.184,0.168
960,0.185,0.165
961,0.179,0.16
962,0.181,0.166
963,0.177,0.165
964,0.185,0.167
965,0.183,0.165
966,0.176,0.161
967,0.178,0.162
968,0.184,0.168
969,0.182,0.164
970,0.181,0.164
971,0.184,0.168
972,0.184,0.166
973,0.188,0.17
974,0.18,0.164
975,0.185,0.168
976,0.184,0.167
977,0.189,0.17
978,0.177,0.162
979,0.186,0.17
980,0.182,0.168
981,0.18,0.161
982,0.178,0.164
983,0.189,0.169
984,0.185,0.171
985,0.179,0.164
986,0.188,0.173
987,0.176,0.164
988,0.183,0.171
989,0.184,0.169
990,0.183,0.168
991,0.189,0.169
992,0.184,0.168
993,0.178,0.165
994,0.182,0.165
995,0.181,0.167
996,0.187,0.17
997,0.188,0.169
998,0.182,0.168
999,0.184,0.173
